time,F_x,F_y,F_z,T_x,T_y,T_z,U_sup,U_fluid,fluid_fraction
0.810000,3.53835718E-05,-6.17612567E-10,9.91267444E-03,-1.53898064E-10,1.66280162E-08,1.41475542E-10,1.75532687E-03,1.78956241E-03,9.80648219E-01
0.820000,3.83510416E-05,-5.95456432E-10,9.91811563E-03,-1.48128278E-10,1.66369270E-08,1.38137558E-10,1.75664410E-03,1.79090552E-03,9.80648219E-01
0.830000,4.11908752E-05,-5.73949740E-10,9.92331642E-03,-1.42482890E-10,1.66455819E-08,1.34794447E-10,1.75789635E-03,1.79218239E-03,9.80648219E-01
0.840000,4.39080093E-05,-5.53088648E-10,9.92828804E-03,-1.36970331E-10,1.66539779E-08,1.31461267E-10,1.75908676E-03,1.79339621E-03,9.80648219E-01
0.850000,4.65072002E-05,-5.32866638E-10,9.93304119E-03,-1.31596618E-10,1.66621148E-08,1.28150328E-10,1.76021834E-03,1.79455004E-03,9.80648219E-01
0.860000,4.89930304E-05,-5.13275006E-10,9.93758609E-03,-1.26365816E-10,1.66699947E-08,1.24871673E-10,1.76129393E-03,1.79564677E-03,9.80648219E-01
0.870000,5.13699157E-05,-4.94303338E-10,9.94193248E-03,-1.21280413E-10,1.66776213E-08,1.21633459E-10,1.76231622E-03,1.79668917E-03,9.80648219E-01
0.880000,5.36421106E-05,-4.75939875E-10,9.94608962E-03,-1.16341615E-10,1.66849999E-08,1.18442279E-10,1.76328781E-03,1.79767987E-03,9.80648219E-01
0.890000,5.58137150E-05,-4.58171829E-10,9.95006636E-03,-1.11549596E-10,1.66921366E-08,1.15303419E-10,1.76421114E-03,1.79862137E-03,9.80648219E-01
0.900000,5.78886789E-05,-4.40985636E-10,9.95387113E-03,-1.06903696E-10,1.66990383E-08,1.12221068E-10,1.76508855E-03,1.79951604E-03,9.80648219E-01
0.910000,5.98708079E-05,-4.24367134E-10,9.95751195E-03,-1.02402583E-10,1.67057124E-08,1.09198501E-10,1.76592226E-03,1.80036616E-03,9.80648219E-01
0.920000,6.17637684E-05,-4.08301729E-10,9.96099647E-03,-9.80443868E-11,1.67121666E-08,1.06238219E-10,1.76671438E-03,1.80117387E-03,9.80648219E-01
0.930000,6.35710921E-05,-3.92774597E-10,9.96433197E-03,-9.38268128E-11,1.67184090E-08,1.03342075E-10,1.76746692E-03,1.80194123E-03,9.80648219E-01
0.940000,6.52961808E-05,-3.77770733E-10,9.96752540E-03,-8.97472276E-11,1.67244476E-08,1.00511374E-10,1.76818180E-03,1.80267019E-03,9.80648219E-01
0.950000,6.69423106E-05,-3.63275101E-10,9.97058336E-03,-8.58027384E-11,1.67302905E-08,9.77469586E-11,1.76886084E-03,1.80336261E-03,9.80648219E-01
0.960000,6.85126364E-05,-3.49272645E-10,9.97351215E-03,-8.19902529E-11,1.67359457E-08,9.50492852E-11,1.76950578E-03,1.80402025E-03,9.80648219E-01
0.970000,7.00101961E-05,-3.35748454E-10,9.97631777E-03,-7.83065352E-11,1.67414212E-08,9.24184830E-11,1.77011826E-03,1.80464481E-03,9.80648219E-01
0.980000,7.14379143E-05,-3.22687724E-10,9.97900594E-03,-7.47482418E-11,1.67467246E-08,8.98544040E-11,1.77069986E-03,1.80523787E-03,9.80648219E-01
0.990000,7.27986065E-05,-3.10075852E-10,9.98158208E-03,-7.13119634E-11,1.67518636E-08,8.73566703E-11,1.77125208E-03,1.80580097E-03,9.80648219E-01
1.000000,7.40949824E-05,-2.97898465E-10,9.98405138E-03,-6.79942509E-11,1.67568455E-08,8.49247106E-11,1.77177632E-03,1.80633556E-03,9.80648219E-01
1.010000,7.51915593E-05,-2.85763125E-10,9.98614749E-03,-6.46237716E-11,1.67606263E-08,8.24068077E-11,1.77225321E-03,1.80682187E-03,9.80648219E-01
1.020000,7.63116301E-05,-2.69634884E-10,9.98828736E-03,-6.17535384E-11,1.67657134E-08,8.01966340E-11,1.77270676E-03,1.80728437E-03,9.80648219E-01
1.030000,7.73878549E-05,-2.56767169E-10,9.99037185E-03,-5.88159683E-11,1.67699075E-08,7.79046989E-11,1.77313804E-03,1.80772416E-03,9.80648219E-01
1.040000,7.84125942E-05,-2.45574295E-10,9.99238539E-03,-5.59531207E-11,1.67738525E-08,7.56650913E-11,1.77354806E-03,1.80814229E-03,9.80648219E-01
1.050000,7.93872789E-05,-2.35153043E-10,9.99432715E-03,-5.31844213E-11,1.67777477E-08,7.34925993E-11,1.77393783E-03,1.80853976E-03,9.80648219E-01
1.060000,8.03143131E-05,-2.25188100E-10,9.99619885E-03,-5.05115905E-11,1.67816166E-08,7.13867812E-11,1.77430829E-03,1.80891754E-03,9.80648219E-01
1.070000,8.11959535E-05,-2.15586546E-10,9.99800264E-03,-4.79343264E-11,1.67854509E-08,6.93467123E-11,1.77466035E-03,1.80927656E-03,9.80648219E-01
1.080000,8.20342432E-05,-2.06324093E-10,9.99974077E-03,-4.54515184E-11,1.67892406E-08,6.73715578E-11,1.77499487E-03,1.80961770E-03,9.80648219E-01
1.090000,8.28310637E-05,-1.97393143E-10,1.00014156E-02,-4.30612574E-11,1.67929783E-08,6.54601785E-11,1.77531266E-03,1.80994178E-03,9.80648219E-01
1.100000,8.35881768E-05,-1.88787500E-10,1.00030293E-02,-4.07609841E-11,1.67966591E-08,6.36110466E-11,1.77561452E-03,1.81024961E-03,9.80648219E-01
