time,T_dna,T_res
252.270000,-1.49643444e+02,-1.18227764e+02
252.275000,-1.49629271e+02,-1.18213591e+02
252.280000,-1.49615222e+02,-1.18199543e+02
252.285000,-1.49601337e+02,-1.18185658e+02
252.290000,-1.49587568e+02,-1.18171890e+02
252.295000,-1.49573904e+02,-1.18158228e+02
252.300000,-1.49560331e+02,-1.18144654e+02
252.305000,-1.49546875e+02,-1.18131200e+02
252.310000,-1.49533541e+02,-1.18117865e+02
252.315000,-1.49520303e+02,-1.18104629e+02
252.320000,-1.49507202e+02,-1.18091526e+02
252.325000,-1.49494272e+02,-1.18078596e+02
252.330000,-1.49481486e+02,-1.18065810e+02
252.335000,-1.49468862e+02,-1.18053184e+02
252.340000,-1.49456393e+02,-1.18040716e+02
252.345000,-1.49444095e+02,-1.18028417e+02
252.350000,-1.49431950e+02,-1.18016274e+02
252.355000,-1.49419923e+02,-1.18004244e+02
252.360000,-1.49407941e+02,-1.17992265e+02
252.365000,-1.49396055e+02,-1.17980378e+02
252.370000,-1.49384265e+02,-1.17968588e+02
252.375000,-1.49372544e+02,-1.17956867e+02
252.380000,-1.49360869e+02,-1.17945192e+02
252.385000,-1.49349241e+02,-1.17933565e+02
252.390000,-1.49337649e+02,-1.17921974e+02
252.395000,-1.49326164e+02,-1.17910490e+02
252.400000,-1.49314782e+02,-1.17899107e+02
252.405000,-1.49303453e+02,-1.17887780e+02
252.410000,-1.49292135e+02,-1.17876461e+02
252.415000,-1.49280789e+02,-1.17865114e+02
252.420000,-1.49269364e+02,-1.17853689e+02
252.425000,-1.49257901e+02,-1.17842224e+02
252.430000,-1.49246415e+02,-1.17830739e+02
252.435000,-1.49234906e+02,-1.17819230e+02
252.440000,-1.49223292e+02,-1.17807616e+02
252.445000,-1.49211467e+02,-1.17795793e+02
252.450000,-1.49199417e+02,-1.17783740e+02
252.455000,-1.49187215e+02,-1.17771538e+02
252.460000,-1.49174892e+02,-1.17759215e+02
252.465000,-1.49162483e+02,-1.17746806e+02
252.470000,-1.49150014e+02,-1.17734337e+02
252.475000,-1.49137473e+02,-1.17721796e+02
252.480000,-1.49124849e+02,-1.17709172e+02
252.485000,-1.49112209e+02,-1.17696533e+02
252.490000,-1.49099599e+02,-1.17683922e+02
252.495000,-1.49087058e+02,-1.17671382e+02
252.500000,-1.49074578e+02,-1.17658901e+02
252.505000,-1.49062110e+02,-1.17646434e+02
252.510000,-1.49049621e+02,-1.17633944e+02
252.515000,-1.49037159e+02,-1.17621484e+02
252.520000,-1.49024803e+02,-1.17609129e+02
252.525000,-1.49012602e+02,-1.17596928e+02
252.530000,-1.49000533e+02,-1.17584858e+02
252.535000,-1.48988550e+02,-1.17572877e+02
252.540000,-1.48976616e+02,-1.17560942e+02
252.545000,-1.48964817e+02,-1.17549143e+02
252.550000,-1.48953219e+02,-1.17537545e+02
252.555000,-1.48941785e+02,-1.17526112e+02
252.560000,-1.48930477e+02,-1.17514804e+02
252.565000,-1.48919268e+02,-1.17503597e+02
252.570000,-1.48908115e+02,-1.17492444e+02
252.575000,-1.48897035e+02,-1.17481365e+02
252.580000,-1.48886043e+02,-1.17470372e+02
252.585000,-1.48875102e+02,-1.17459431e+02
252.590000,-1.48864156e+02,-1.17448485e+02
252.595000,-1.48853132e+02,-1.17437461e+02
252.600000,-1.48841941e+02,-1.17426270e+02
252.605000,-1.48830620e+02,-1.17414949e+02
252.610000,-1.48819209e+02,-1.17403539e+02
252.615000,-1.48807730e+02,-1.17392060e+02
252.620000,-1.48796177e+02,-1.17380507e+02
252.625000,-1.48784527e+02,-1.17368857e+02
252.630000,-1.48772735e+02,-1.17357066e+02
252.635000,-1.48760832e+02,-1.17345162e+02
252.640000,-1.48748849e+02,-1.17333179e+02
252.645000,-1.48736834e+02,-1.17321164e+02
252.650000,-1.48724818e+02,-1.17309149e+02
252.655000,-1.48712865e+02,-1.17297195e+02
252.660000,-1.48701007e+02,-1.17285336e+02
252.665000,-1.48689312e+02,-1.17273641e+02
252.670000,-1.48677776e+02,-1.17262106e+02
252.675000,-1.48666410e+02,-1.17250740e+02
252.680000,-1.48655207e+02,-1.17239538e+02
252.685000,-1.48644122e+02,-1.17228452e+02
252.690000,-1.48633095e+02,-1.17217425e+02
252.695000,-1.48622151e+02,-1.17206481e+02
252.700000,-1.48611277e+02,-1.17195609e+02
252.705000,-1.48600450e+02,-1.17184781e+02
252.710000,-1.48589645e+02,-1.17173977e+02
252.715000,-1.48578862e+02,-1.17163195e+02
252.720000,-1.48568079e+02,-1.17152411e+02
252.725000,-1.48557315e+02,-1.17141646e+02
252.730000,-1.48546530e+02,-1.17130861e+02
252.735000,-1.48535707e+02,-1.17120039e+02
252.740000,-1.48524854e+02,-1.17109184e+02
252.745000,-1.48514007e+02,-1.17098337e+02
252.750000,-1.48503181e+02,-1.17087511e+02
252.755000,-1.48492410e+02,-1.17076741e+02
252.760000,-1.48481680e+02,-1.17066010e+02
252.765000,-1.48470969e+02,-1.17055300e+02
252.770000,-1.48460288e+02,-1.17044620e+02
252.775000,-1.48449639e+02,-1.17033971e+02
252.780000,-1.48439034e+02,-1.17023365e+02
252.785000,-1.48428574e+02,-1.17012906e+02
252.790000,-1.48418306e+02,-1.17002638e+02
