time,u,gap
3.592000,-1.768181e-02,3.59956000e-03
3.593000,-1.762797e-02,3.58193000e-03
3.594000,-1.757251e-02,3.56436000e-03
3.595000,-1.752094e-02,3.54684000e-03
3.596000,-1.746752e-02,3.52937000e-03
3.597000,-1.741562e-02,3.51195000e-03
3.598000,-1.736434e-02,3.49459000e-03
3.599000,-1.730911e-02,3.47728000e-03
3.600000,-1.724991e-02,3.46003000e-03
3.601000,-1.718991e-02,3.44284000e-03
3.602000,-1.713489e-02,3.42570000e-03
3.603000,-1.707860e-02,3.40863000e-03
3.604000,-1.701631e-02,3.39161000e-03
3.605000,-1.694942e-02,3.37466000e-03
3.606000,-1.688905e-02,3.35777000e-03
3.607000,-1.683766e-02,3.34093000e-03
3.608000,-1.678560e-02,3.32415000e-03
3.609000,-1.672364e-02,3.30742000e-03
3.610000,-1.666401e-02,3.29076000e-03
3.611000,-1.660122e-02,3.27416000e-03
3.612000,-1.654089e-02,3.25762000e-03
3.613000,-1.648231e-02,3.24114000e-03
3.614000,-1.642986e-02,3.22471000e-03
3.615000,-1.637795e-02,3.20833000e-03
3.616000,-1.632448e-02,3.19200000e-03
3.617000,-1.626872e-02,3.17573000e-03
3.618000,-1.621650e-02,3.15952000e-03
3.619000,-1.616987e-02,3.14335000e-03
3.620000,-1.612431e-02,3.12722000e-03
3.621000,-1.607086e-02,3.11115000e-03
3.622000,-1.601248e-02,3.09514000e-03
3.623000,-1.595589e-02,3.07918000e-03
3.624000,-1.590943e-02,3.06328000e-03
3.625000,-1.586444e-02,3.04741000e-03
3.626000,-1.580791e-02,3.03160000e-03
3.627000,-1.574929e-02,3.01585000e-03
3.628000,-1.569694e-02,3.00016000e-03
3.629000,-1.564548e-02,2.98451000e-03
3.630000,-1.559052e-02,2.96892000e-03
3.631000,-1.553893e-02,2.95338000e-03
3.632000,-1.548584e-02,2.93790000e-03
3.633000,-1.542564e-02,2.92247000e-03
3.634000,-1.536158e-02,2.90711000e-03
3.635000,-1.530034e-02,2.89181000e-03
3.636000,-1.524415e-02,2.87656000e-03
3.637000,-1.518803e-02,2.86138000e-03
3.638000,-1.513302e-02,2.84624000e-03
3.639000,-1.506949e-02,2.83117000e-03
3.640000,-1.500526e-02,2.81617000e-03
